id,category,message
1,bank_impersonation,"Dear customer, your Access Bank account has been flagged for suspicious activity. To avoid suspension, please send your BVN and OTP to this number immediately. Failure to comply within 2 hours will result in account closure."
2,otp_harvesting,"GTBank Alert: We detected unusual login to your account. To secure your account, please share the OTP sent to your registered number. Do not share this with anyone else. Our agent is waiting."
3,fake_investment,"Make ₦50,000 daily from home with our proven Forex trading system. No experience required. Guaranteed returns of 300% monthly. Invest as little as ₦10,000 to get started. DM me on WhatsApp now."
4,urgency_manipulation,"FINAL NOTICE: Your NIN has not been linked to your SIM. Your line will be deactivated tonight by 12am. Visit www.bit.ly/nin-verify now to complete verification before expiry."
5,giveaway_lottery,"Congratulations! You have been selected as a lucky winner in the MTN Anniversary Promo. You won ₦500,000 cash prize. Claim your reward by contacting our agent on WhatsApp: 08012345678. Limited time offer."
6,fake_job_offer,"URGENT HIRING: We need 50 online data entry workers. Earn ₦30,000 daily working from home. No experience needed. Send your full name, age, and location to qualify. Registration fee: ₦2,000 only."
7,romance_scam,"Hello my dear, I am a US Army soldier stationed in Syria. I have feelings for you and want to share my life with you. I have a package containing $500,000 but customs have seized it. Please send ₦50,000 to help release it."
8,government_impersonation,"This is a message from the EFCC. Your account has been linked to fraudulent transactions. You are under investigation. Contact Agent Daniel on 08098765432 within 24 hours or face arrest."
9,account_verification,"Your GTBank internet banking has been disabled due to multiple failed login attempts. Click here to reactivate: https://bit.ly/gtbank-verify. You have 30 minutes before permanent suspension."
10,delivery_scam,"DHL Delivery Notice: Your package (tracking: DHL7729182) is held at customs. A clearance fee of ₦15,000 is required for release. Pay via transfer to 0123456789 (Access Bank, John Doe). Failure to pay in 48 hours returns the package."
11,fake_investment,"Crypto investment opportunity wey go change your life. Invest 0.01 BTC, collect 0.1 BTC in 7 days. Our platform don pay thousands of people. Risk free. Message us on Telegram: @cryptoprofits_ng"
12,bank_impersonation,"ZENITH BANK: We don notice say your account don get unauthorized access. Make you send us your card details (card number, CVV and expiry date) now so we fit block the transaction. Time dey go."
13,fake_job_offer,"Work from home and earn big! Oga, no need degree or experience. Just do simple typing work and earn ₦15,000 per day. We dey pay daily. Send your WhatsApp number to apply. Training materials available for ₦3,500."
14,giveaway_lottery,"Glo Network: You don win ₦1,000,000 for our monthly subscriber promo! You be our 10 millionth subscriber. To claim your prize, send your full name, bank account number, and the name wey dey on the account to this number."
15,otp_harvesting,"UBA Security Alert: Somebody dey try access your account from another device. To confirm say na you, reply this message with the 6-digit code wey we just send to your phone. Do am quick before the code expire."
16,romance_scam,"My darling, I have something important to tell you. I am a doctor working with WHO in Afghanistan. I have been watching you and I like what I see. I want to send you a gift but I need your home address and phone number first."
17,urgency_manipulation,"ACT NOW! Your BVN expires in 3 hours. All accounts tied to an expired BVN will be frozen by CBN mandate. Update immediately at www.tinyurl.com/bvn-update or your funds will be inaccessible from midnight tonight."
18,fake_investment,"Join our investment community and earn passive income every week. We invest in real estate and forex on your behalf. Minimum investment is ₦50,000. Returns are 50% monthly. Refer friends and earn extra. Do not miss this!"
19,account_verification,"NIMC Notice: Your NIN enrollment is incomplete. Your SIM card will be deactivated within 24 hours if you do not complete verification. Login at https://rebrand.ly/nimc-ng to verify your details now."
20,bank_impersonation,"First Bank of Nigeria: Dear valued customer, your debit card has been temporarily blocked for your security. Please call our customer care line 08011111111 and provide your card number and PIN to unblock immediately."
21,giveaway_lottery,"Airtel BigWin: You have won a brand new iPhone 15 Pro and ₦200,000 cash in our quarterly draw. You were selected from our database of loyal customers. To claim, pay a token processing fee of ₦5,000 to: 0987654321 (Zenith, Airtel Agent)"
22,government_impersonation,"Federal Government of Nigeria COVID-19 Relief Fund: You have been selected to receive ₦50,000 relief payment. To receive your funds, visit www.bit.ly/fg-relief and provide your BVN and account number. Registration closes Friday."
23,delivery_scam,"Your Amazon order is awaiting pickup at the courier office. A customs duty of ₦8,500 is outstanding. To avoid return of your package, pay within 24 hours. Transfer to: 0123456789 Access Bank (Collins Eze). Send payment proof to 08055556666."
24,otp_harvesting,"Access Bank: As part of our security upgrade, we require you to verify your identity. Please provide your 4-digit PIN and the OTP that was just sent to your phone. An agent is standing by. Do not share this code with others."
25,fake_investment,"E get opportunity wey I wan show you. Invest ₦20,000, collect ₦60,000 in 5 days. No be scam. I don do am twice already. If you interested, message me. Wetin you get to lose? Opportunity dey go."
26,fake_job_offer,"Vacancy: Online Social Media Manager. Work from your phone. Earn ₦500,000 monthly. Duties: post content, reply comments. No experience needed. Send your name, age, location to hr@socialmedia-ng.com. Deadline: tomorrow."
27,bank_impersonation,"Your Opay account don exceed transaction limit. To continue using your account, you must re-verify. Enter your PIN and transaction password on this secure link: https://bit.ly/opay-verify. Link expires in 20 minutes."
28,romance_scam,"Hi, I know this message go surprise you. I be woman wey dey look for serious relationship. I dey US but I be Nigerian. I wan send you money as love gift but my bank dey ask for your account details to process the transfer."
29,urgency_manipulation,"STERLING BANK ALERT: Your account has been scheduled for closure due to inactivity. To prevent closure and avoid losing your funds, call us immediately on 07099999999 and confirm your account details. Do not delay."
30,government_impersonation,"ICT Ministry Grant: Your business has qualified for a ₦500,000 SME grant from the Federal Government. To receive, register at www.tinyurl.com/sme-grant with your CAC number, BVN, and bank account details today. Offer closes soon."
31,payment_method_red_flag,"I need your help urgently. I am stranded in London and my phone got stolen. Please send ₦50,000 via Western Union or Bitcoin to this address: 3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5. I will pay you back double when I return."
32,fake_investment,"Best investment platform in Nigeria right now. We trade crude oil futures on your behalf. Minimum ₦100,000. Weekly withdrawal available. Over 2,000 active investors. Guaranteed 35% return monthly. DM for proof of payment from members."
33,otp_harvesting,"Moniepoint Security Team: We have detected a login attempt on your wallet from Lagos. If this was not you, respond with your 6-digit OTP to stop this transaction immediately. Your funds are at risk if you do not act in the next 5 minutes."
34,giveaway_lottery,"You have been randomly selected to receive a FREE data bundle of 10GB from our network promo. To activate, enter the promo code we just sent you here: www.bit.ly/free-data. Offer valid for today only. Don't miss out!"
35,fake_job_offer,"Oga/Madam, good afternoon. I want to introduce a legit work from home job. You will be packaging small items for export and earn ₦80,000 per week. Transportation provided. However, you need to pay ₦5,000 for starter kit. WhatsApp me."
36,bank_impersonation,"GTBank Fraud Detection: A transfer of ₦250,000 was initiated from your account. If you did not authorize this, please provide your account PIN and the one-time code sent to your phone to reverse this transaction within 10 minutes."
37,government_impersonation,"FIRS Tax Refund Notice: Based on your 2023 tax filing, you are entitled to a refund of ₦120,000. To receive your refund, submit your BVN, account number, and NIN at www.rebrand.ly/firs-refund before the deadline this Friday."
38,delivery_scam,"Fedex Nigeria: Package AWB7291827 addressed to you has arrived at our Lagos hub. Item was declared as electronics from the UK. Applicable import duty: ₦22,500. Pay to release: Acct 0011223344, Firstbank (Fedex Nigeria Ltd)."
39,urgency_manipulation,"This is your last chance to claim your CBN palliative cash of ₦75,000. Over 5 million Nigerians have already received theirs. Your slot expires at midnight tonight. Click www.bit.ly/cbn-palliative and enter your BVN to receive."
40,information_control,"I dey give you this information because I trust you and I know say you go benefit from am. But abeg, do not tell anyone about this yet. Share your account details with me and I go transfer the money directly to you before morning."
